logS,delta,sigma,v_star,action_rate,action_rate_cutoff,n_switches_a_star,switches_ok,always0,always1,n_v,dv
-4,0.1,1,2.94666666666667,0.00159223730193403,0.00160609631090469,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.16,1,3.22666666666667,0.00060229972610657,0.000626206344100821,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.22,1,3.42,0.000285729745360157,0.000313105678581227,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.28,1,3.56666666666667,0.000151855881000537,0.000180775448405557,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.34,1,3.7,7.79943649979792e-05,0.000107799733477409,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.4,1,3.81333333333333,3.82542892350566e-05,6.85524978873975e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.46,1,3.92,1.36624027828014e-05,4.42744843121012e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-4,0.52,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.58,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.64,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.7,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.76,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.82,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.88,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,0.94,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.06,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.12,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.18,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.24,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.3,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.36,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.42,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.48,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.54,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.6,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.66,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.72,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.78,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.84,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.9,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,1.96,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.02,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.08,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.14,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.2,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.26,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.32,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.38,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.44,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-4,2.5,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.1,1,2.84,0.0022480942947006,0.00225567669154236,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.16,1,3.13333333333333,0.000842787145954876,0.000864165209098045,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.22,1,3.32666666666667,0.000413505849596459,0.000439457209584493,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.28,1,3.48666666666667,0.000216372588008025,0.000244540265626037,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.34,1,3.61333333333333,0.000121867433058381,0.00015114284386808,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.4,1,3.73333333333333,6.45101368889824e-05,9.44811248043687e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.46,1,3.84,3.11288566860717e-05,6.15171551832106e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.52,1,3.94,1.00822443312923e-05,4.07408045585145e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.8,0.58,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.64,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.7,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.76,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.82,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.88,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,0.94,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.06,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.12,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.18,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.24,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.3,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.36,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.42,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.48,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.54,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.6,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.66,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.72,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.78,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.84,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.9,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,1.96,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.02,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.08,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.14,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.2,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.26,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.32,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.38,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.44,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.8,2.5,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,0.1,1,-4,0.00329010917479463,,2,FALSE,FALSE,FALSE,1201,0.00666666666666993
-3.6,0.16,1,3.03333333333333,0.0011915188529988,0.0012093413666644,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.6,0.22,1,3.24,0.000573433094420401,0.000597648497934422,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.6,0.28,1,3.4,0.000309825055909372,0.000336929265676855,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.6,0.34,1,3.53333333333333,0.000176547575988408,0.000205177365705134,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.6,0.4,1,3.65333333333333,9.98895803701088e-05,0.000129428916871621,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
