logS,delta,n_switches_a_star,n_switches_eps_0,n_switches_astar_grid,sigma,n_switches_dense,n_intervals_dense,v_enter_1,v_exit_1,v_enter_2,v_exit_2,v_enter_3,v_exit_3
-3.6,0.1,2,2,2,1,2,2,-4,-3.66832,2.72032,4,,
-3.4,0.1,2,2,2,1,2,2,-4,-3.33008,2.59712,4,,
-3.2,0.1,2,2,2,1,2,2,-4,-2.98496,2.464,4,,
-3,0.1,2,2,2,,,,,,,,,
-2.8,0.1,2,2,2,,,,,,,,,
-2.6,0.1,2,2,2,,,,,,,,,
-2.6,0.16,2,2,2,,,,,,,,,
-2.4,0.1,2,2,2,,,,,,,,,
-2.4,0.16,2,2,2,,,,,,,,,
-2.2,0.1,2,2,2,,,,,,,,,
-2.2,0.16,2,2,2,,,,,,,,,
-2,0.1,2,2,2,,,,,,,,,
-2,0.16,2,2,2,,,,,,,,,
-1.8,0.16,2,2,2,,,,,,,,,
-1.6,0.16,2,2,2,,,,,,,,,
-1.4,0.16,2,2,2,,,,,,,,,
-1.4,0.22,3,3,3,1,3,2,-3.07104,-2.508,1.63472,4,,
-1.2,0.22,3,3,3,1,3,2,-3.57216,-1.42624,1.29808,4,,
-1,0.22,3,3,3,1,3,2,-3.7616,-0.36416,0.666560000000001,4,,
