"logS","delta_always0_min","delta_always1_max","share_nonmonotone"
-4,0.52,NA,0
-3.8,0.58,NA,0
-3.6,0.64,NA,0.024390243902439
-3.4,0.7,NA,0.024390243902439
-3.2,0.76,NA,0.024390243902439
-3,0.82,NA,0.024390243902439
-2.8,0.82,NA,0.024390243902439
-2.6,0.88,NA,0.048780487804878
-2.4,0.94,NA,0.048780487804878
-2.2,1,NA,0.048780487804878
-2,1.06,NA,0.048780487804878
-1.8,1.12,0.1,0.024390243902439
-1.6,1.18,0.1,0.024390243902439
-1.4,1.24,0.1,0.048780487804878
-1.2,1.36,0.16,0.024390243902439
-1,1.42,0.16,0.024390243902439
-0.8,1.48,0.16,0
-0.6,1.54,0.16,0
-0.4,1.6,0.22,0
-0.2,1.66,0.22,0
0,1.78,0.22,0
0.2,1.84,0.22,0
0.4,1.9,0.22,0
0.6,1.96,0.22,0
0.800000000000001,2.08,0.22,0
1,2.14,0.22,0
1.2,2.26,0.22,0
1.4,2.32,0.22,0
1.6,2.38,0.22,0
1.8,2.5,0.22,0
2,NA,0.22,0
2.2,NA,0.22,0
2.4,NA,0.22,0
2.6,NA,0.22,0
2.8,NA,0.22,0
3,NA,0.22,0
3.2,NA,0.22,0
3.4,NA,0.22,0
3.6,NA,0.22,0
3.8,NA,0.22,0
4,NA,0.22,0
