"logS","delta","sigma","n_switches_a_star","v_star","action_rate","always0","always1"
-3.6,0.1,1,2,-4,0.00329010917479463,FALSE,FALSE
-3.4,0.1,1,2,-4,0.00507836144252075,FALSE,FALSE
-3.2,0.1,1,2,-4,0.00824566262966346,FALSE,FALSE
-3,0.1,1,2,-4,0.0144675594127249,FALSE,FALSE
-2.8,0.1,1,2,-4,0.0272606584376253,FALSE,FALSE
-2.6,0.1,1,2,-4,0.0550981904649484,FALSE,FALSE
-2.6,0.16,1,2,-4,0.00773607635112335,FALSE,FALSE
-2.4,0.1,1,2,-4,0.113525308226332,FALSE,FALSE
-2.4,0.16,1,2,-4,0.0121948735122235,FALSE,FALSE
-2.2,0.1,1,2,-4,0.239314958388621,FALSE,FALSE
-2.2,0.16,1,2,-4,0.0220093361184831,FALSE,FALSE
-2,0.1,1,2,-4,0.523711982298873,FALSE,FALSE
-2,0.16,1,2,-4,0.0452986479661077,FALSE,FALSE
-1.8,0.16,1,2,-4,0.102490315437382,FALSE,FALSE
-1.6,0.16,1,2,-4,0.245258441202551,FALSE,FALSE
-1.4,0.16,1,2,-4,0.663704952792006,FALSE,FALSE
-1.4,0.22,1,3,-3.06666666666667,0.0557847299431174,FALSE,FALSE
-1.2,0.22,1,3,-3.56666666666667,0.174482217421497,FALSE,FALSE
-1,0.22,1,3,-3.76,0.611620793112853,FALSE,FALSE
