switches_ok,always0,always1,quantiles_v_star,quantiles_action_rate,error
1662,572,80,-4,0,-1.38590089706601e-05
1662,572,80,1.22,0,-2.3906617994251e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.737593322107e-05
1662,572,80,Inf,0.10082833257967,-2.891956740502e-05
1662,572,80,Inf,0.999937545753028,-2.98053684794298e-05
1662,572,80,-4,0,-3.02982086523409e-05
1662,572,80,1.22,0,-3.06120815292998e-05
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,-7.58239684176031e-06
1662,572,80,3.11333333333333,0.000904191356695437,-2.1378063143169e-05
1662,572,80,Inf,0.10082833257967,-2.5951359988034e-05
1662,572,80,Inf,0.999937545753028,-2.8167677618012e-05
1662,572,80,-4,0,-2.9275410809699e-05
1662,572,80,1.22,0,-2.99709879153863e-05
1662,572,80,3.11333333333333,0.000904191356695437,-3.03882984971389e-05
1662,572,80,Inf,0.10082833257967,-3.06585602272222e-05
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
