"delta","S","n_crossings","structure","regime","action_set","v_min","v_max","H_left","H_right"
0.01,2,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,1e-04
0.01,3,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,1e-04
0.01,4,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,1e-04
0.01,5,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,1e-04
0.01,6,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,2e-04
0.01,7,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,2e-04
0.01,8,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,2e-04
0.01,9,0,"All action","Low penalty","[-10,10]",-10,10,1.6119,3e-04
0.01,10,0,"All action","Low penalty","[-10,10]",-10,10,1.612,3e-04
0.01,11,0,"All action","Low penalty","[-10,10]",-10,10,1.612,3e-04
0.01,12,0,"All action","Low penalty","[-10,10]",-10,10,1.612,3e-04
0.01,13,0,"All action","Low penalty","[-10,10]",-10,10,1.612,4e-04
0.01,14,0,"All action","Low penalty","[-10,10]",-10,10,1.612,4e-04
0.01,15,0,"All action","Low penalty","[-10,10]",-10,10,1.612,4e-04
0.01,16,0,"All action","Low penalty","[-10,10]",-10,10,1.612,5e-04
0.01,17,0,"All action","Low penalty","[-10,10]",-10,10,1.612,5e-04
0.01,18,0,"All action","Low penalty","[-10,10]",-10,10,1.612,5e-04
0.01,19,0,"All action","Low penalty","[-10,10]",-10,10,1.612,5e-04
0.01,20,0,"All action","Low penalty","[-10,10]",-10,10,1.612,6e-04
0.01,21,0,"All action","Low penalty","[-10,10]",-10,10,1.612,6e-04
0.01,22,0,"All action","Low penalty","[-10,10]",-10,10,1.612,6e-04
0.01,23,0,"All action","Low penalty","[-10,10]",-10,10,1.612,7e-04
0.01,24,0,"All action","Low penalty","[-10,10]",-10,10,1.612,7e-04
0.01,25,0,"All action","Low penalty","[-10,10]",-10,10,1.612,7e-04
0.01,26,0,"All action","Low penalty","[-10,10]",-10,10,1.612,7e-04
0.01,27,0,"All action","Low penalty","[-10,10]",-10,10,1.612,8e-04
0.01,28,0,"All action","Low penalty","[-10,10]",-10,10,1.612,8e-04
0.01,29,0,"All action","Low penalty","[-10,10]",-10,10,1.612,8e-04
0.01,30,0,"All action","Low penalty","[-10,10]",-10,10,1.612,9e-04
0.01,31,0,"All action","Low penalty","[-10,10]",-10,10,1.612,9e-04
0.01,32,0,"All action","Low penalty","[-10,10]",-10,10,1.612,9e-04
0.01,33,0,"All action","Low penalty","[-10,10]",-10,10,1.612,9e-04
0.01,34,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.001
0.01,35,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.001
0.01,36,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.001
0.01,37,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.0011
0.01,38,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.0011
0.01,39,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.0011
0.01,40,0,"All action","Low penalty","[-10,10]",-10,10,1.612,0.0011
